entry_month,formation_month,PERMNO,Ticker,formation_ret,decile
2024-06-01,2024-05-01,83011,WSM,0.576655179696641,10.0
2024-06-01,2024-05-01,12431,TT,0.4570562208633087,10.0
2024-06-01,2024-05-01,85059,FIX,0.6937982702786165,10.0
2024-06-01,2024-05-01,24643,HWM,0.6116555526577019,10.0
2024-06-01,2024-05-01,86580,NVDA,1.3443992740288824,10.0
2024-06-01,2024-05-01,87055,COST,0.401357306015075,10.0
2024-06-01,2024-05-01,13407,META,0.4284848450669864,10.0
2024-06-01,2024-05-01,88661,TPR,0.3980768586359295,10.0
2024-06-01,2024-05-01,22623,CEG,0.801255814352424,10.0
2024-06-01,2024-05-01,79686,DECK,0.6475435127738933,10.0
2024-06-01,2024-05-01,53613,MU,0.6459585063187216,10.0
2024-06-01,2024-05-01,91068,CMG,0.4210564977760216,10.0
2024-06-01,2024-05-01,45356,JCI,0.3795021306758409,10.0
2024-06-01,2024-05-01,93002,AVGO,0.4476796671132063,10.0
2024-06-01,2024-05-01,91611,FSLR,0.722397100111541,10.0
2024-06-01,2024-05-01,85792,PWR,0.4664639661453436,10.0
2024-06-01,2024-05-01,80286,TSCO,0.4171644786234449,10.0
2024-06-01,2024-05-01,46886,KLAC,0.4004826296210691,10.0
2024-06-01,2024-05-01,18267,DELL,0.8549670427899536,10.0
2024-06-01,2024-05-01,16736,VST,1.8233806827659298,10.0
2024-06-01,2024-05-01,79637,UHS,0.38221740433768814,10.0
2024-06-01,2024-05-01,18312,MRNA,0.8346174705702265,10.0
2024-06-01,2024-05-01,85663,URI,0.4132723493719323,10.0
2024-06-01,2024-05-01,91152,TDG,0.39502616176947897,10.0
2024-06-01,2024-05-01,51369,TER,0.5312321772647419,10.0
2024-06-01,2024-05-01,21723,HOOD,1.3749982754597458,10.0
2024-06-01,2024-05-01,66384,WDC,0.5584761541834717,10.0
2024-06-01,2024-05-01,50876,LLY,0.39264016473177027,10.0
2024-06-01,2024-05-01,11762,ETN,0.47077552408100615,10.0
2024-06-01,2024-05-01,92043,IBKR,0.6198070316916031,10.0
2024-06-01,2024-05-01,81774,FCX,0.4223800031072714,10.0
2024-06-01,2024-05-01,12369,GM,0.4279014534434962,10.0
2024-06-01,2024-05-01,12060,GE,0.7077030736209649,10.0
2024-06-01,2024-05-01,81677,WAB,0.45569098713796075,10.0
2024-06-01,2024-05-01,82307,DVA,0.4500293744996359,10.0
2024-06-01,2024-05-01,85072,RL,0.4577012127414433,10.0
2024-07-01,2024-06-01,16655,CVNA,1.4314295723751589,10.0
2024-07-01,2024-06-01,91547,LDOS,0.3553276890711718,10.0
2024-07-01,2024-06-01,20391,TPL,0.40674648756583587,10.0
2024-07-01,2024-06-01,88352,ISRG,0.31862100495051815,10.0
2024-07-01,2024-06-01,15315,GDDY,0.31603213626436144,10.0
2024-07-01,2024-06-01,82276,ACGL,0.35842360283142144,10.0
2024-07-01,2024-06-01,46886,KLAC,0.42436700242005015,10.0
2024-07-01,2024-06-01,16309,TTD,0.3572818238892497,10.0
2024-07-01,2024-06-01,14702,AMAT,0.4612229649554,10.0
2024-07-01,2024-06-01,18726,CRWD,0.5008204585383482,10.0
